Key Prefix,Object Type,Notes
03A,CalendarView,/Calendar2/CustomObjectCalendar
03B,CalendarModel,
03C,DataflowInstance,
03D,ContactOwnerSharingRule,
03E,GatherStatsTaskInfo,
03G,AccountCriteriaSharingRule,
03H,ContactCriteriaSharingRule,
03I,CaseCriteriaSharingRule,
03J,ChatterMessage,
03K,ChatterMessageThread,
03L,DataflowNode,
03M,ChatterConversation,
03N,ChatterConversationMember,
03O,CardPaymentMethod,
03P,DataAssessmentMetric,
03Q,DataAssessmentFieldMetric,
03R,DataAssessmentValueMetric,
03S,ContentAsset,
03U,DataAssessmentBIMetrics,
03V,CampaignInfluenceModel,
03Y,InteractionScreenRule,
03Z,InteractionScreenRuleAction,
03a,DependentPicklist,
03b,SubscriberPackageVersionInstallRequest,
03c,LayoutRightPanel,
03d,ValidationFormula,Validation Rule
03e,CustomSetupDefinition,
03f,CustomSetup,
03g,QueueSobject,
03h,ExternalServiceAction,
03i,ConsoleConfig,
03j,CaseContactRole,
03k,ConsoleConfigItem,
03m,ExternalServiceType,
03n,ApexClassIdentifier,
03o,ExternalActionParameter,
03q,ApexClassIdentifierRelationship,
03r,AssignedResource,
03s,ContactShare,
03u,UserPreference,
03v,Package2Member,
040,ReportParam,
041,ACC_TERRITORY_ASSIGN,
042,ACC_TERR_ASSIGN_RULE_ITEM,
043,OutboundField,
044,ExternalizedReference,
045,PartnerNetworkSetup,
049,OpportunitySplit,
04B,Bookmark,
04E,SandOmObserver,
04F,LoginGeo,
04G,DatacloudIndustryCode,
04H,InstanceDirective,
04I,EmbeddedServiceConfig,
04P,PartnerNetworkConnection,Doc
04Q,LearningItem,/LogAnalysisRun
04R,LearningLink,/LogAnalysisItem
04S,USER_TERRITORY,
04T,TERRITORY,
04U,DNB_ACCOUNT_MAPPING,
04V,PartnerNetworkRecordConnection,Doc
04W,RevenueForecastHistory,
04X,QuantityForecastHistory,
04Y,ActionFieldUpdate,Field Update
04Z,EntityLock,
04a,ProcessDefinition,
04b,ProcessNode,
04c,ProcessTransition,
04d,ProcessTransitionCondition,
04e,ProcessActionItem,
04f,ProcessWorkitemProperties,
04g,ProcessInstance,
04h,ProcessInstanceStep,
04i,ProcessInstanceWorkitem,
04j,ProcessAllowedSubmitter,
04k,ActionOutboundMessage,Outbound Message Id
04l,OutboundMessage,Outbound Notification Id
04m,AdditionalNumber,
04n,SoftphoneLayout,
04o,SoftphoneLayoutSection,
04p,SoftphoneLayoutItem,
04q,SoftphoneLayoutInfoField,
04r,SoftphoneLayoutCallType,
04s,AsyncRequest,"AsyncResult,DeployResult"
04t,AllPackageVersion,Install Package - Subscriber Package Version ID
04t,MetadataPackageVersion,
04u,ActionOverride,
04v,CallCenter,
04w,DatedConversionRate,
04x,PackageExtension,
04y,ListColumn,
04z,LayoutItemActionRef,
050,PackageLicense,
051,UserPackageLicense,
052,SfdcOutboundMessage,
053,WorkflowTimeTrigger,
054,WorkflowTimeAction,
055,WorkflowTimeQueue,
056,ContentTagName,
057,ContentDocumentSubscription,
058,ContentWorkspace,Doc
059,ContentWorkspaceDoc,
05A,ContentWorkspaceMember,/ContentWorkspaceMembership
05B,CampaignCriteriaSharingRule,
05C,ContentVersionComment,
05D,ContentDistribution,
05E,AsyncApiBatchOptions,
05F,ApexTestSuite,
05G,IpWhitelist,
05H,ContentDistributionView,
05I,CampaignSharingRuleFilterItem,
05J,ContentVersionRating,
05K,ContentVersionRenditionContent,
05L,DBCThumbnailFilter,
05M,Experiment,
05N,ContentVersionTagName,
05P,ContentWorkspacePermission,
05Q,ContentTagSubscription,
05R,ContentWorkspaceSubscription,
05S,ContentUserSubscription,
05T,ContentBody,
05U,EntityFeedLayout,
05V,ContentNotification,
05W,ContentNotificationParam,
05X,DocumentAttachmentMap,
05Z,ContentWorkspaceRecentEvent,
05a,DataStatistics,
05c,CopyExportChunk2,
05d,CopyImportChunk2,
05e,CopyEntityTally2,
05f,AcceptedRecommendation,
05g,TwoFactorTempCode,
05i,Package2Version,Package Version ID
05j,CommunityTemplateDefinition,
05k,ColorDefinition,
05l,CommunityThemeDefinition,
05m,ApexTestRunResult,
05n,ApexTestResultLimits,
05o,EclairNgMapGeoJson,
05p,EclairNgMap,
05q,AssistantRecommendation,
05t,CustomEntityTranslation,
05v,DataPrepRecipe,
05y,DirectMessage,
05z,DirectMessageMember,
060,Portal,
061,PortalAccount,
062,PortalStyleConfig,
063,MobileConfig,
064,QuerySet,
065,QuerySetItem,
066,ApexPage,
067,PortalMember,
068,ContentVersion,
069,ContentDocument,
069,ContentNote,/ContentDocument
06A,ContentDocumentLink,
06B,ContentWorkspaceAllowedRecType,
06E,DandBCompany,
06F,EmailCapture,
06G,CustomConsoleComponent,
06M,LogoutEvent,BigObjectForReporting
06N,ApplicationDependency,
06O,ServiceDeskAttributes,
06P,Application,Connected App
06V,InsightsExternalData,
06W,InsightsExternalDataPart,
06Y,FeedActionDefinition,
06a,LocalNamespace,
06b,FeedActionState,
06c,EltWorkflowAudit,
06d,GrantedByLicense,
06e,DdcProspectorMetrics,
06f,EdgeMartDataShard,
06g,EdgeMartDataShardFile,
06h,FileSearchActivity,
06i,FlexQueueItem,
06j,ApexEmailNotification,
06k,ProfileActionOverride,
06l,OverridableEntities,
06m,AppDefinition,
06n,ServicePresenceStatusInfo,
06o,AppTabMember,
06p,NotifTypeUserSetting,
06q,BackgroundOperationResult,
06r,AppNotificationType,
06s,SkinnyTable,
06t,SkinnyTableField,
06u,PresenceUserConfigInfo,
06v,AppNotifTypeUserSetting,
06w,AppBrand,
06y,SubscriberPackageVersionUninstallRequest,
070,CustomReportType,
071,CrtObject,
072,CrtColumn,Related to reports in some way.
073,CrtLayoutSection,
074,CorsWhitelistEntry,
075,DuplicateErrorLog,
076,RateLimitingNotification,
077,ApiCapture,
078,ApiUsage,
079,MobileMarkedRecord,
07A,MassMail,
07D,FeedPostTemplate,
07E,Sandbox,
07F,FeedFavorite,
07G,SummaryRecalcQueue,
07H,ContentFolder,
07I,ContentFolderMember,
07J,ComponentObjectDependency,
07K,ComponentFeatureDependency,
07L,ApexLog,
07M,ApexTestResult,Doc
07N,ActionLinkTemplateBinding,
07O,Canvas,
07P,EntitySizeJob,
07R,DataCategoryMapping,
07S,CleanDataService,/CleanDataSource
07T,AuthConfig,
07U,AuthConfigProviders,
07V,ActionSend,
07W,CustomBrand,
07X,CustomBrandAsset,
07Y,CleanRule,BatchOrgSizeJob
07Z,EntityDataSize,
07a,ApexDebuggerSession,
07b,ApexDebuggerBreakpoint,
07c,ApexDebuggerRequest,
07d,ApexDebuggerEvent,
07e,FeedPostTemplateItem,
07f,BluetailFeedback,
07g,ActionLinkGroupTemplate,
07h,ConnectedAppOauthPolicy,
07i,CleanRule,
07j,ContentSyncSetting,
07k,AccountContactRelation,
07l,ActionLinkTemplate,
07m,DatacloudAddress,
07n,ApexExecutionOverlayResult,
07o,EntityLimit,
07p,UserAppMenuItem,
07t,ApiEvent,
07u,UserEntityAccess,
07v,ContentFolderLink,
07w,DatacloudIndustryChapter,
07x,DatacloudIndustrySubChapter,
07y,DatacloudIndustryContent,
07z,DatacloudIndustry,
080,PacCrudPermission,
081,StaticResource,
082,UninstallExport,Data from Uninstalled Packages? A zip containing CSVs.
083,Vote,
084,VoteConfig,
085,VoteStats,
086,MobileDevice,
087,Idea,
08C,DatacloudContact,
08E,AddressCountry,
08F,AddressState,
08G,CleanJobLog,
08H,CleanBatchErrorLog,
08I,CleanEntityErrorLog,
08J,EltWorkflowNode,
08K,DuplicateRuleMatchRule,
08M,FeedAttachment,
08N,ExternalEventMapping,
08O,FTestSystemCatalogEntity,
08P,BackgroundOperation,
08Q,ForecastingOwnerAdjustment,
08R,FeedMute,
08U,FeedRevision,
08V,FTestMetadataCatalogEntity,
08W,DashboardGridLayout,
08X,DashboardGridComponent,
08a,CronJobDetail,
08c,Package2VersionCreateRequest,Package Version Create Request
08d,CampaignOwnerSharingRule,
08e,CronTrigger,Doc
08g,CronFiredTrigger,
08h,EmbeddedServiceLiveAgent,
08j,Package2OauthConsumer,
08k,DimensionCustomAction,
08l,AQTWorkloadData,
08n,AqtCompoundRecommendedIndex,
08o,AqtCreatedIndex,
08p,ServiceAppointment,
08q,WorkType,
08r,AqtLongRunningRequestData,
08s,CampaignShare,
08t,AqtRIRequestMap,
08u,AqtRecommendedIndex,
08v,AqtAwrData,
08x,InstancePerm,
08y,CspTrustedSite,
090,MobileExcludedField,
091,EmailServicesFunction,
092,WeeklyDataExport,
093,EmailServicesAddress,
094,MobileView,
095,MobileViewSortColumn,
096,MobileViewDisplayColumn,
097,MobileViewFilter,
098,GoogleDoc,
099,ApexComponent,
09A,FeedPollChoice,
09B,FeedPollVote,
09C,AsyncApiJobMatchDetail,
09D,QuickActionDefinition,
09E,AsyncApiBatchMatchDetail,
09F,DatacloudPurchaseUsage,
09G,EnvironmentHubInvitation,
09H,ConnectedApplication2,
09I,QuickActionListItem,
09J,QuickActionList,
09K,DatacloudCompany,
09L,ActionFlow,
09M,ActionFlowParam,
09N,DatacloudDandBCompany,
09O,DatacloudOwnedEntity,
09P,EmailDomainKey,
09S,AsyncRequestFFX,
09T,AsyncRequestFFXResult,
09U,DomainCookieStore,
09V,DashboardStickyFilter,
09W,ThirdPartyAccountLinkLocal,
09X,DcSocialProfileHandle,
09Y,DcSocialProfile,
09Z,FeedFilterDefinition,
09a,Community,
09d,FeedFilterCriterion,
09e,InvocableAction,
09f,InvocableActionParameter,
09g,InvocableActionPicklist,
09h,IncrementalCandidate,
09i,DataAssessmentRecord,
09j,QoptimizerOption,IpRange
09k,IconDefinition,
09l,ApexDebuggerLicense,
09m,FeedEntityUnpublished,
09s,MassOperationsJobInfo,
09t,UiFormulaRule,
09v,SecurityCustomBaseline,
09w,IQOpportunityEmailAddress,
09x,CommunityWorkspacesNode,
09z,EmbeddedServiceQuickAction,
0A0,ReportJob,
0A1,ReportJobFieldMap,
0A2,DevelopmentPackageVersion,Change Set
0A3,InstalledPackageVersion,Installed Package
0A4,ProcessTransitionApprover,
0A5,AllManagedPackageMember,
0A7,CustomShareRowCause,
0A8,ReportJobRun,
0A9,ReportJobRunError,
0AB,ProfilePortalDelegate,
0AD,PackageEvent,
0AF,FolderShare,
0AH,CompactLayout,
0AI,FirehoseCheckpoint,
0AJ,ComponentInstanceProperty,
0AK,ComponentInstance,
0AL,ExternalSocialAccount,
0AM,CompactLayoutItem,
0AN,CompactLayoutMapping,
0AO,CopyExport,
0AP,CopyImport,
0AQ,CopyExportChunk,
0AR,CopyImportChunk,
0AS,CopyEntityTally,
0AT,EventLogFile,
0AU,AuthSecurityLevel,
0AV,CopyExportObserverInfo,
0AW,CanvasFeedItem,
0AX,ConsolePersonalization,
0AY,ExternalEvent,
0AZ,ActionApex,
0Aa,CollaborationGroupRecord,
0Ab,AuraDefinitionBundle,
0Ad,AuraDefinition,
0Af,DeployRequest,
0Ag,ActionLinkGroup,
0Ah,ConferenceNumber,
0Ai,DeployMessage,
0Aj,AsyncApiTransformationSpec,
0Ak,AuthSession,
0Al,DeployTestResult,
0Am,SplitMapping,
0An,ActionLink,
0Ao,SplitPod,
0Ap,Split,
0Aq,ActionLinkGroupAssoc,
0Ar,SplitAction,
0As,SplitActionResult,
0At,ActionLinkUserState,
0Au,AnalyticNotification,
0Av,AnalyticThreshold,
0Aw,AnalyticCondition,
0Ax,ContentVersioningPolicy,
0Ay,AnalyticAction,
0Az,AuraResource,
0B0,MobileEntitySetting,
0B1,MessageIdentifier,
0B2,PortalLanguageConfig,
0B3,PortalLanguageTabConfig,
0B9,MobileTab,
0BA,CustomDataType,
0BB,CustomDataTypeComponent,
0BC,CustomFieldDataColumn,
0BE,FileFieldData,
0BF,ComponentAppVersion,
0BG,CampaignInfluenceAdjustment,
0BH,AllManagedClassRelationship,
0BI,ContentVersionMap,
0BJ,ActionAssignTeam,
0BL,PackageIdMapping,
0BM,Connection,Salesforce to Salesforce
0BR,LogSearchResult,
0BV,OpportunityCriteriaSharingRule,
0BW,MobilePushDevice,
0BX,HistoricalEntityConfig,
0BY,MqSlaRequest,
0BZ,EmailBrand,
0Ba,LoginBrandAsset,
0Bb,LoginBrand,
0Bc,MqSlaJob,
0Bd,HistoricalFieldConfig,
0Be,HistoricalTransactionPrefix,
0Bf,HistoricalStaging,
0Bg,IdeaTheme,
0Bi,HistoricalSelectorValue,
0Bk,HistoricalSelector,
0Bl,BlacklistedConsumer,
0Bm,DuplicateRule,
0Bn,ConsoleSidebarContainer,
0Bo,SidebarComponentLayout,
0Bp,ListPoolUsage,
0Bq,EltWorkflowJobTracker,
0Br,EltWorkflowJobHistory,
0Bs,DatacloudSocialHandle,
0Bt,Announcement,
0Bu,DunsRightAsyncBatch,
0Bv,DunsRightAsyncAccountRecord,
0Bw,EltWorkflow,
0Bx,DunsRightAsyncChunk,
0By,ContentDispositionAssignment,
0Bz,AgentWork,
0C0,Holiday,
0C1,CustIdxCandidate,
0C2,MobileSession,
0C3,RequestThrottle,
0C5,Skill,
0C6,LiveChatUserConfig,
0C8,SetupAssistantProgress,
0C9,SkillUser,
0CA,SkillProfile,
0CB,LiveChatUserConfigUser,
0CC,SiteChangelistComponent,
0CD,LiveChatUserConfigProfile,
0CE,GroupSubscription,
0CF,ChatterNowUserFavorites,
0CG,MailAppSettings,
0CH,ContentHubItem,
0CI,EntityImplements,
0CJ,FieldImplements,
0CK,MailAppExchangeWhitelist,
0CL,SiteChangelist,
0CM,ChatSessionMembers,
0CO,MailAppExchangeUserMap,
0CP,CustomPermission,
0CQ,OauthToken,
0CS,ChatterNowUserSettings,
0CU,OrgSizingDataHolder,
0CW,OrgSizingInfo,
0CX,MobilePushUserUpdate,
0CZ,EmailMessageRelation,
0Cd,EventBusSubscriber,
0Ce,FormulaParticle,
0Cg,OrganizationValueInfo,
0Ch,LayoutParticle,
0Ci,AppManifest,
0Cj,OperationLog,
0Cl,ForecastingUserPreference,
0Cn,NotificationMember,
0Co,ProductItem,
0Ct,ManagedContentBlock,
0Cu,ManagedContentBlockVersion,
0Cv,KanbanView,
0Cw,PartnerMarketingBudget,
0Cy,OwnerChangeOptionInfo,
0Cz,Setting,
0D0,CustomIndexUsage,
0D1,DataCategoryGroup,
0D2,OrgWideEmailAddress,
0D3,OrgEmailAddressSecurity,
0D4,LeadCriteriaSharingRule,
0D5,FeedItem,DocorNewsFeedorUserProfileFeedUse caution as there are at least three object types exposed via the partner API with the same keyPrefix!
0D6,FeedTrackedChange,
0D7,FeedComment,
0D8,AllManagedMemberOption,
0D9,LeadSharingRuleFilterItem,
0DA,EntityCategoryGroup,
0DB,Network,
0DC,ProcessTransitionAction,
0DD,SynonymGroup,
0DE,Synonym,
0DF,VersionSet,encodes your package version selections when the enterprise WSDL was generated. SeePackage Version Settings
0DG,NamedFilter,
0DH,FieldAttributes,
0DL,NetworkMemberGroup,
0DM,Site,
0DN,SitePageOverride,
0DO,NetworkMember,
0DQ,IndexKeyDefinitionItem,
0DR,AndroidPushApplicationSetup,
0DS,AppMenuItem,
0DT,IdeaReputationLevel,
0DU,LimitUsageHistory,
0DV,PushUpgradeRequest,
0DV,PackagePushRequest,
0DW,IdeaReputation,
0DX,PushUpgradeJob,
0DX,PackagePushJob,
0DY,PushUpgradeJobError,
0DY,PackagePushError,
0DZ,LiveChatTranscriptEvent,
0Db,ForecastingType,
0Dd,ListViewChart,
0De,ListViewChartInstance,
0Df,InstanceSizeJob,
0Dg,FeedEntry,
0Dh,MaterializedFeedEntry,
0Di,FeedClumpMapping,
0Dj,FeedClumpInfo,
0Dk,ObjectMapping,
0Dl,ObjectMappingField,
0Dm,NetworkSelfRegistration,
0Dp,NetworkPageOverride,
0Dq,TwoFactorAuthPairing,
0Dr,MailAppOwaWhitelist,
0Ds,UserAppInfo,
0Dt,OrgSigningKey,
0Du,ExchangeUserMapping,
0Dv,NotifTypeOrgSetting,
0Dy,GlobalVariableType,
0Dz,OptimizerMetricsAverage,
0E0,EmailSyncConfig,
0E1,EmailSyncEntitySetting,
0E2,EmailSyncFieldMapping,
0E3,EmailSyncValueMapping,
0E4,EmailConfigEntitySetting,
0E5,EmailUserEntitySetting,
0E6,EmailSyncAdvancedSetting,
0E7,EntitlementContact,
0E8,EntitySubscription,Doc
0E9,ProductEntitlementTemplate,
0EA,PackageVersionPatchOrg,
0EB,Renderer,
0ED,LpuAccessMapping,
0EE,DeployDirection,
0EF,RequestTrace,
0EG,ReportChart,
0EH,SummaryLayout,
0EI,SummaryLayoutItem,
0EJ,SummaryLayoutSliceInfo,
0EM,ContentReference,Appears next to refid query string parameter when pulling images. Seertaimage servlet parametersâ€¦what does the refid refer to?
0EO,PicklistItemProperty,
0EP,InboundChangeSet,
0EQ,CategoryJobTask,
0ER,RichTextAreaFieldData,
0EV,AllInstalledPackageVersion,
0EW,ChangeSetDeployHistory,
0EX,ChangeSetDeployMessage,
0EZ,S2XExchOAuthCredential,
0Eb,ModuleDependency,
0Ee,HistoricalDataFilter,
0Ef,HistoricalDataFilterItem,
0Eg,GlobalDbKey,
0Eh,TodayCard,
0El,InstalledMobileApp,
0Em,TodayCardProperty,
0En,ReadOnlyMemcachedServer,
0Ep,ReadOnlyUserLogin,
0Eq,LeadConvertSettings,
0Er,PlatformCachePartition,
0Es,TemplateDeployment,
0Et,ReadOnlyAuthSession,
0Eu,TemplateDeploymentItem,
0Ev,PlatformCachePartitionType,
0Ex,PlatformCacheTrial,
0Ey,ReadOnlyRedisServer,
0Ez,ReadOnlyLoginHistory,
0F0,EmailTempAttachmentMap,
0F1,DuplicateRuleFilter,
0F2,HadoopCounter,
0F3,ReportBlock,
0F5,PhotoItem,
0F7,FeedPost,
0F8,SoftphoneScreenPopOption,
0F9,CollaborationGroup,
0FA,CsnDomain,
0FB,CollaborationGroupMember,
0FG,MobilePushServiceDevice,
0FH,LinkReference,
0FI,DuplicateRuleFilterItem,
0FJ,LensFile,
0FK,Lens,
0FM,FeedMapping,
0FO,AssistantProgress,OrgSizeJob
0FP,ReportRunTracker,
0FQ,TrialMaster,
0FR,PackageOperationError,
0FT,TopicAssignment,
0FX,QoptimizerLimitOverride,
0Fa,ContextFieldAttributes,
0Fb,EdgeMart,
0Fc,EdgeMartData,
0Fd,EdgeMartDataFile,
0Fe,IdentityConnector,
0Ff,InboundSocialPost,
0Fg,InteractionLoop,
0Fh,InteractionActionCall,
0Fi,InteractionActionCallParam,
0Fj,InteractionMetadataValue,
0Fl,ContentRenditionPolicy,
0Fm,LensEdgeMart,
0Fn,EdgeExternalDataFile,
0Fo,FlowInterview,
0Fp,HammerResultStatus,
0Fq,FeedChannel,
0Fr,FeedChannelSubscription,
0Fs,OrderOwnerSharingRule,
0Ft,OrderCriteriaSharingRule,
0Fu,OrderSharingRuleFilterItem,
0Fv,InteractionRefOrValue,
0Fy,OrderShare,
0Fz,IndexKeyDefinition,
0G1,FeedFieldHistory,
0G2,ForecastingCompositeKey,
0G3,ForecastingItem,
0G4,OracleAwrSqlstat,
0G5,OracleAwrSqltext,
0G6,ForecastingFact,
0G7,ForecastingAdjustment,
0G8,ReportBucketField,
0G9,AccountSharingRuleFilterItem,
0GC,EmailDisclaimer,
0GD,ReportBucketFieldValue,
0GE,ReportBucketFieldSourceValue,
0GH,SchemaBuilderLayout,
0GI,SchemaBuilderLayoutItem,
0GJ,ApplePushApplicationSetup,
0GK,DuplicateRecordSet,
0GL,DuplicateRecordItem,
0GM,MetadataIdentifier,
0GN,MetadataContent,
0GO,LiveChatSensitiveDataRule,
0GP,ProspectorRecModel,
0GQ,SandboxInfo,
0GR,SandboxProcess,
0GS,S2XEventMap,
0GT,S2XContactMap,
0GU,LongRunningRequest,
0GV,SiteDetail,
0GW,RelatedEntity,
0GY,Tombstone,
0Ga,AsyncApiChunkResults,RecommendedIndex
0Gc,BusProcessFeedbackConfig,/RecommendedIndexLrrMap
0Gf,InterestingSqlFromAwr,
0Gg,SourceMetadataMember,
0Gi,SecurityHealthCheck,
0Gj,TimeSlot,
0Gm,S2XEventTxnProps,
0Gn,ProductRequired,
0Go,AssistantInteraction,
0Gp,UiFormulaCriterion,
0Gq,IntelligenceField,
0Gq,ActivityMetric,
0Gr,UserLicenseMetrics,UiFormulaRuleAssignment
0Gt,Package2VersionCreateRequestError,
0Gu,SCSTermsOfService,
0Gv,ProductConsumed,
0Gw,S2XSandmanError,
0Gx,FormulaOperator,
0Gy,DataIntegrationRecordPurchasePermission,/DiscoveryUserLicense
0Gz,DiscoveryOrgLicense,
0H0,SiteRedirectMapping,
0H1,CollaborationInvitation,
0H2,SharingSet,/LpuSharingSet
0H4,ConnectedApplication,
0H6,ChangeSetUploadHistory,
0H7,PackageSupportAccess,
0H9,OracleAwrSqlignore,
0HC,RecordSalt,
0HD,PackageUploadRequest,
0HE,SettingsTemplate,
0HF,ReadOnlyLoginMessage,PublishEvent
0HG,EntitySharingModel,
0HI,ReportBlockAggregate,
0HJ,LiveChatButtonDeployment,
0HK,LiveAgentSession,
0HN,TwoFactorInfo,
0HO,MobilePushSetupRegistry,
0HP,UserProvisioningRequest,
0HQ,ReadOnlyAppserver,
0HR,MetricsTransmissionHistory,
0HS,SharingOperation,
0HT,ScrutinyRun,
0HU,ProfileSessionSetting,
0HV,ProfilePasswordPolicy,
0HW,ConnectedAppSessionPolicy,
0HX,UserProvMockTarget,
0HY,UserProvAccountStaging,
0HZ,ConnectedAppPlugin,
